market_id	accounts	open_interest	exact_max_residual	base_spacing	below_lmr	below_imr_diagnostic	zero_base_fixture_rows
3	33	8571799630673111279469	829	10000000000000000	0	0	0
4	14	25318696754074402748337	57735	10000000000000000	0	0	0
5	11	16511331377748290010878	11704	10000000000000000	0	0	0
6	16	205429999999999999046	954	10000000000000000	0	0	0
8	13	103960000000000000000	262	10000000000000000	0	0	0
9	3	8060000000000000000	19	10000000000000000	0	0	0
10	7	3500000000000000000000	0	10000000000000000	0	0	0
11	9	2528250000000000000000	330	10000000000000000	0	0	0
12	15	8087250000000000000000	4542	10000000000000000	0	0	0
13	6	7500000000000000017827	17827	10000000000000000	0	0	0
14	7	4118893917277922036811	9214	10000000000000000	0	0	0
16	8	36079089999999999897445	102555	10000000000000000	0	0	0
17	3	156479700000000000000	0	100000000000000	0	0	0
18	7	800045406532265730561370	1207252	10000000000000000	0	0	0
19	4	9155500000000000000	0	100000000000000	0	0	0
20	12	25918919442814821626531	51529	100000000000000000	0	0	0
21	3	1266300000000000000000	53027	100000000000000000	0	0	0
22	6	501000000000000000000000	10102	100000000000000000	0	0	0
23	5	5993100000000000000000	15647	100000000000000000	0	0	0
24	7	1533007211069966846	24	10000000000000000	0	0	0
26	9	10582618654728467176052	4921	100000000000000000	0	0	0
27	5	266186000000000000000000	60302	100000000000000000	0	0	0
28	5	42000000000000000000	12781	100000000000000000	0	0	0
29	12	10319481760911728888624	1681	100000000000000000	0	0	0
30	3	14343000000000000000000	0	100000000000000000	0	0	0
31	12	45960035299797695160160	570332	100000000000000000	0	0	0
32	8	7665892539018009266369	2646	100000000000000000	0	0	0
33	7	1624227911783798558203	1590	100000000000000000	0	0	0
35	4	1502700000000000000000	440	100000000000000000	0	0	0
38	8	128120000000000000140	140	10000000000000000	0	0	0
39	2	449999999999999999049	951	100000000000000000	0	0	0
40	3	7499999999999999996030	3970	100000000000000000	0	0	0
41	15	354010234685649842851148	1706989	100000000000000000	0	0	0
42	4	19460563862572765443	472	100000000000000000	0	0	0
43	16	375247762003069835723	25231	100000000000000000	0	0	0
44	5	123100000000000000000	0	100000000000000000	0	0	0
47	4	2173200000000000000000	18065	100000000000000000	0	0	0
48	6	7103500000000000024996	24996	100000000000000000	0	0	0
50	2	110000000000000000000	8112	100000000000000000	0	0	0
51	3	500000000000000000198	198	100000000000000000	0	0	0
54	2	4390000000000000000000	0	100000000000000000	0	0	0
55	3	13700000000000000000	0	100000000000000000	0	0	0
60	5	1540000000000000000	11	10000000000000000	0	0	0
62	4	176315600000000000000000	0	100000000000000000	0	0	0
63	4	517099999999999462150	537850	100000000000000000	0	0	0
64	3	10900000000000000000	0	100000000000000000	0	0	0
66	7	14844000000000000004365	4365	100000000000000000	0	0	0
70	16	121107000000000000001	1	1000000000000000	0	1	0
74	12	1500639700000000000000000	2326790	100000000000000000	0	0	0
75	4	63600000000000000000	0	100000000000000000	0	0	0
